ST,Year,half,alldrugs_seizure_count
AK,1999,2,16
AK,2000,1,99
AK,2000,2,49
AK,2001,1,11
AK,2001,2,25
AK,2002,1,24
AK,2002,2,40
AK,2003,1,45
AK,2003,2,106
AK,2004,1,40
AK,2004,2,152
AK,2005,1,449
AK,2005,2,660
AK,2006,1,513
AK,2006,2,706
AK,2007,1,610
AK,2007,2,426
AK,2008,1,485
AK,2008,2,258
AK,2009,1,324
AK,2009,2,326
AK,2010,1,471
AK,2010,2,442
AK,2011,1,335
AK,2011,2,381
AK,2012,1,403
AK,2012,2,420
AK,2013,1,569
AK,2013,2,441
AK,2014,1,424
AK,2014,2,428
AK,2015,1,472
AK,2015,2,411
AK,2016,1,521
AK,2016,2,361
AK,2017,1,486
AK,2017,2,417
AK,2018,1,393
AK,2018,2,164
AK,2019,1,107
AK,2019,2,78
AK,2020,1,568
AK,2020,2,669
AK,2021,1,696
AK,2021,2,725
AK,2022,1,726
AK,2022,2,791
AL,1997,1,180
AL,1997,2,932
AL,1998,1,1904
AL,1998,2,1636
AL,1999,1,1995
AL,1999,2,2138
AL,2000,1,3327
AL,2000,2,3438
AL,2001,1,3883
AL,2001,2,5069
AL,2002,1,5109
AL,2002,2,5156
AL,2003,1,5650
AL,2003,2,4315
AL,2004,1,5474
AL,2004,2,5479
AL,2005,1,6572
AL,2005,2,5329
AL,2006,1,5462
AL,2006,2,5282
AL,2007,1,6062
AL,2007,2,5106
AL,2008,1,5969
AL,2008,2,6062
AL,2009,1,7451
AL,2009,2,7380
AL,2010,1,8090
AL,2010,2,8658
AL,2011,1,8695
AL,2011,2,7672
AL,2012,1,7106
AL,2012,2,6128
AL,2013,1,6114
AL,2013,2,5812
AL,2014,1,5462
AL,2014,2,5741
AL,2015,1,5549
AL,2015,2,4614
AL,2016,1,5519
AL,2016,2,6064
AL,2017,1,9430
AL,2017,2,8439
AL,2018,1,9783
AL,2018,2,9351
AL,2019,1,10695
AL,2019,2,10130
AL,2020,1,9968
AL,2020,2,7994
AL,2021,1,10021
AL,2021,2,5523
AL,2022,1,1941
AL,2022,2,1253
AR,1999,1,5
AR,1999,2,39
AR,2000,1,79
AR,2000,2,100
AR,2001,1,137
AR,2001,2,907
AR,2002,1,3660
AR,2002,2,3313
AR,2003,1,4117
AR,2003,2,3716
AR,2004,1,4223
AR,2004,2,4157
AR,2005,1,5121
AR,2005,2,4991
AR,2006,1,4640
AR,2006,2,5559
AR,2007,1,6803
AR,2007,2,551
AR,2008,1,6351
AR,2008,2,5542
AR,2009,1,6541
AR,2009,2,5400
AR,2010,1,7595
AR,2010,2,7448
AR,2011,1,6044
AR,2011,2,7169
AR,2012,1,8674
AR,2012,2,5840
AR,2013,1,5232
AR,2013,2,6563
AR,2014,1,9699
AR,2014,2,11259
AR,2015,1,12597
AR,2015,2,12110
AR,2016,1,13898
AR,2016,2,13171
AR,2017,1,14881
AR,2017,2,13523
AR,2018,1,14434
AR,2018,2,11546
AR,2019,1,12826
AR,2019,2,12990
AR,2020,1,12670
AR,2020,2,13603
AR,2021,1,13433
AR,2021,2,10526
AR,2022,1,10205
AR,2022,2,7970
AS,2001,1,2
AS,2001,2,4
AS,2002,2,1
AS,2003,2,105
AS,2004,2,32
AS,2005,1,28
AS,2005,2,21
AS,2006,1,24
AS,2007,1,28
AS,2007,2,1
AS,2008,1,1
AS,2008,2,2
AS,2009,1,44
AS,2009,2,3
AS,2010,1,4
AS,2010,2,9
AS,2011,1,9
AS,2011,2,1
AS,2012,1,6
AS,2012,2,135
AS,2013,1,6
AS,2013,2,70
AS,2014,1,11
AS,2014,2,2
AS,2015,1,8
AS,2016,2,1
AS,2017,1,8
AS,2017,2,2
AS,2018,1,16
AS,2018,2,9
AS,2019,1,6
AS,2020,1,13
AS,2020,2,7
AS,2021,1,3
AS,2021,2,14
AS,2022,1,29
AS,2022,2,23
AZ,1998,2,7
AZ,1999,1,7
AZ,1999,2,71
AZ,2000,1,237
AZ,2000,2,156
AZ,2001,1,340
AZ,2001,2,272
AZ,2002,1,272
AZ,2002,2,218
AZ,2003,1,190
AZ,2003,2,209
AZ,2004,1,837
AZ,2004,2,1825
AZ,2005,1,2146
AZ,2005,2,2119
AZ,2006,1,2239
AZ,2006,2,2033
AZ,2007,1,2280
AZ,2007,2,1466
AZ,2008,1,1309
AZ,2008,2,1198
AZ,2009,1,1595
AZ,2009,2,1844
AZ,2010,1,1963
AZ,2010,2,2373
AZ,2011,1,2697
AZ,2011,2,2756
AZ,2012,1,2910
AZ,2012,2,3860
AZ,2013,1,6674
AZ,2013,2,7035
AZ,2014,1,7984
AZ,2014,2,7403
AZ,2015,1,7857
AZ,2015,2,6729
AZ,2016,1,7337
AZ,2016,2,7440
AZ,2017,1,8144
AZ,2017,2,6917
AZ,2018,1,7039
AZ,2018,2,7138
AZ,2019,1,8002
AZ,2019,2,8009
AZ,2020,1,8574
AZ,2020,2,10802
AZ,2021,1,12414
AZ,2021,2,12462
AZ,2022,1,14009
AZ,2022,2,14001
CA,1997,2,26
CA,1998,1,30
CA,1998,2,551
CA,1999,1,9675
CA,1999,2,11679
CA,2000,1,11445
CA,2000,2,15425
CA,2001,1,22343
CA,2001,2,21797
CA,2002,1,25526
CA,2002,2,29029
CA,2003,1,32175
CA,2003,2,35715
CA,2004,1,37811
CA,2004,2,38954
CA,2005,1,51512
CA,2005,2,52454
CA,2006,1,46175
CA,2006,2,43028
CA,2007,1,43896
CA,2007,2,34656
CA,2008,1,35322
CA,2008,2,34078
CA,2009,1,34921
CA,2009,2,33117
CA,2010,1,36748
CA,2010,2,33721
CA,2011,1,34040
CA,2011,2,29352
CA,2012,1,37385
CA,2012,2,35221
CA,2013,1,37256
CA,2013,2,39268
CA,2014,1,38735
CA,2014,2,37619
CA,2015,1,37308
CA,2015,2,34956
CA,2016,1,41901
CA,2016,2,40173
CA,2017,1,39063
CA,2017,2,38398
CA,2018,1,42199
CA,2018,2,41885
CA,2019,1,47060
CA,2019,2,41727
CA,2020,1,40198
CA,2020,2,54630
CA,2021,1,52649
CA,2021,2,37862
CA,2022,1,34376
CA,2022,2,33182
CO,1998,2,1
CO,1999,1,8
CO,1999,2,222
CO,2000,1,439
CO,2000,2,525
CO,2001,1,645
CO,2001,2,576
CO,2002,1,453
CO,2002,2,359
CO,2003,1,422
CO,2003,2,550
CO,2004,1,527
CO,2004,2,1037
CO,2005,1,1908
CO,2005,2,2081
CO,2006,1,2149
CO,2006,2,1806
CO,2007,1,1969
CO,2007,2,1649
CO,2008,1,1863
CO,2008,2,1879
CO,2009,1,2585
CO,2009,2,2324
CO,2010,1,2684
CO,2010,2,2323
CO,2011,1,1930
CO,2011,2,1643
CO,2012,1,2257
CO,2012,2,2763
CO,2013,1,2863
CO,2013,2,3363
CO,2014,1,3429
CO,2014,2,3018
CO,2015,1,3076
CO,2015,2,3811
CO,2016,1,4189
CO,2016,2,3658
CO,2017,1,4346
CO,2017,2,4072
CO,2018,1,4625
CO,2018,2,4404
CO,2019,1,5104
CO,2019,2,4458
CO,2020,1,3536
CO,2020,2,3913
CO,2021,1,4898
CO,2021,2,4499
CO,2022,1,4504
CO,2022,2,3598
CT,1999,1,35
CT,1999,2,30
CT,2000,1,131
CT,2000,2,185
CT,2001,1,207
CT,2001,2,233
CT,2002,1,219
CT,2002,2,154
CT,2003,1,150
CT,2003,2,154
CT,2004,1,159
CT,2004,2,31
CT,2005,1,150
CT,2005,2,105
CT,2006,1,183
CT,2006,2,158
CT,2007,1,86
CT,2007,2,90
CT,2008,1,289
CT,2008,2,158
CT,2009,1,271
CT,2009,2,216
CT,2010,1,245
CT,2010,2,284
CT,2011,1,366
CT,2011,2,350
CT,2012,1,298
CT,2012,2,299
CT,2013,1,423
CT,2013,2,236
CT,2014,1,428
CT,2014,2,216
CT,2015,1,310
CT,2015,2,275
CT,2016,1,522
CT,2016,2,506
CT,2017,1,630
CT,2017,2,708
CT,2018,1,632
CT,2018,2,614
CT,2019,1,663
CT,2019,2,629
CT,2020,1,502
CT,2020,2,589
CT,2021,1,831
CT,2021,2,844
CT,2022,1,1006
CT,2022,2,1063
DC,1997,1,2
DC,1997,2,1
DC,1998,1,10
DC,1998,2,99
DC,1999,1,453
DC,1999,2,634
DC,2000,1,505
DC,2000,2,731
DC,2001,1,884
DC,2001,2,938
DC,2002,1,624
DC,2002,2,511
DC,2003,1,489
DC,2003,2,392
DC,2004,1,465
DC,2004,2,344
DC,2005,1,370
DC,2005,2,457
DC,2006,1,731
DC,2006,2,705
DC,2007,1,674
DC,2007,2,998
DC,2008,1,941
DC,2008,2,744
DC,2009,1,695
DC,2009,2,851
DC,2010,1,813
DC,2010,2,873
DC,2011,1,900
DC,2011,2,972
DC,2012,1,935
DC,2012,2,623
DC,2013,1,698
DC,2013,2,323
DC,2014,1,327
DC,2014,2,240
DC,2015,1,202
DC,2015,2,452
DC,2016,1,890
DC,2016,2,856
DC,2017,1,949
DC,2017,2,627
DC,2018,1,279
DC,2018,2,173
DC,2019,1,291
DC,2019,2,258
DC,2020,1,196
DC,2020,2,217
DC,2021,1,192
DC,2021,2,152
DC,2022,1,209
DC,2022,2,190
DE,2000,1,4
DE,2000,2,8
DE,2001,1,24
DE,2001,2,13
DE,2002,1,18
DE,2002,2,27
DE,2003,1,19
DE,2003,2,33
DE,2004,1,65
DE,2004,2,60
DE,2005,1,107
DE,2005,2,117
DE,2006,1,168
DE,2006,2,181
DE,2007,1,175
DE,2007,2,225
DE,2008,1,275
DE,2008,2,191
DE,2009,1,309
DE,2009,2,300
DE,2010,1,419
DE,2010,2,509
DE,2011,1,493
DE,2011,2,394
DE,2012,1,328
DE,2012,2,271
DE,2013,1,431
DE,2013,2,193
DE,2014,1,79
DE,2014,2,81
DE,2015,1,126
DE,2015,2,233
DE,2016,1,401
DE,2016,2,264
DE,2017,1,255
DE,2017,2,496
DE,2018,1,570
DE,2018,2,666
DE,2019,1,98
DE,2019,2,96
DE,2020,1,56
DE,2020,2,134
DE,2021,1,94
DE,2021,2,76
DE,2022,1,126
DE,2022,2,76
FL,1997,1,10
FL,1997,2,10
FL,1998,1,11
FL,1998,2,291
FL,1999,1,634
FL,1999,2,1096
FL,2000,1,4333
FL,2000,2,4711
FL,2001,1,4980
FL,2001,2,6022
FL,2002,1,6831
FL,2002,2,6434
FL,2003,1,6345
FL,2003,2,6875
FL,2004,1,4598
FL,2004,2,4105
FL,2005,1,3964
FL,2005,2,2999
FL,2006,1,4717
FL,2006,2,4382
FL,2007,1,7167
FL,2007,2,6058
FL,2008,1,7550
FL,2008,2,7750
FL,2009,1,9454
FL,2009,2,10216
FL,2010,1,11347
FL,2010,2,12372
FL,2011,1,12267
FL,2011,2,11145
FL,2012,1,11667
FL,2012,2,10676
FL,2013,1,12576
FL,2013,2,11540
FL,2014,1,13852
FL,2014,2,12071
FL,2015,1,13459
FL,2015,2,13445
FL,2016,1,13935
FL,2016,2,13915
FL,2017,1,17345
FL,2017,2,15660
FL,2018,1,20596
FL,2018,2,19462
FL,2019,1,20210
FL,2019,2,20420
FL,2020,1,18780
FL,2020,2,20866
FL,2021,1,24195
FL,2021,2,19315
FL,2022,1,20309
FL,2022,2,18019
GA,1998,1,6
GA,1998,2,17
GA,1999,1,28
GA,1999,2,109
GA,2000,1,405
GA,2000,2,554
GA,2001,1,3703
GA,2001,2,5006
GA,2002,1,5498
GA,2002,2,4712
GA,2003,1,5714
GA,2003,2,5972
GA,2004,1,5968
GA,2004,2,5844
GA,2005,1,8302
GA,2005,2,8164
GA,2006,1,6035
GA,2006,2,6407
GA,2007,1,7585
GA,2007,2,5275
GA,2008,1,5400
GA,2008,2,5598
GA,2009,1,6297
GA,2009,2,5394
GA,2010,1,7021
GA,2010,2,7166
GA,2011,1,7413
GA,2011,2,7262
GA,2012,1,9593
GA,2012,2,9558
GA,2013,1,9893
GA,2013,2,10391
GA,2014,1,11719
GA,2014,2,11005
GA,2015,1,11933
GA,2015,2,12462
GA,2016,1,14006
GA,2016,2,12723
GA,2017,1,14126
GA,2017,2,11887
GA,2018,1,12755
GA,2018,2,13724
GA,2019,1,13632
GA,2019,2,12487
GA,2020,1,11457
GA,2020,2,11186
GA,2021,1,14219
GA,2021,2,10059
GA,2022,1,7763
GA,2022,2,7045
GU,2009,2,7
GU,2010,1,5
GU,2011,1,2
GU,2012,1,1
GU,2013,1,3
GU,2013,2,9
GU,2014,1,2
GU,2014,2,10
GU,2015,1,11
GU,2015,2,21
GU,2016,1,11
GU,2016,2,5
GU,2017,1,12
GU,2017,2,4
GU,2018,1,15
GU,2018,2,3
GU,2019,1,5
GU,2019,2,18
GU,2020,1,22
GU,2020,2,47
GU,2021,1,22
GU,2021,2,23
GU,2022,1,24
GU,2022,2,8
HI,1999,1,2
HI,1999,2,26
HI,2000,1,180
HI,2000,2,79
HI,2001,1,188
HI,2001,2,269
HI,2002,1,159
HI,2002,2,235
HI,2003,1,1229
HI,2003,2,950
HI,2004,1,713
HI,2004,2,1031
HI,2005,1,1278
HI,2005,2,1016
HI,2006,1,919
HI,2006,2,1718
HI,2007,1,1166
HI,2007,2,848
HI,2008,1,693
HI,2008,2,571
HI,2009,1,521
HI,2009,2,451
HI,2010,1,592
HI,2010,2,455
HI,2011,1,551
HI,2011,2,557
HI,2012,1,794
HI,2012,2,531
HI,2013,1,1018
HI,2013,2,584
HI,2014,1,921
HI,2014,2,956
HI,2015,1,865
HI,2015,2,1347
HI,2016,1,732
HI,2016,2,624
HI,2017,1,574
HI,2017,2,472
HI,2018,1,192
HI,2018,2,513
HI,2019,1,353
HI,2019,2,653
HI,2020,1,150
HI,2020,2,149
HI,2021,1,624
HI,2021,2,710
HI,2022,1,598
HI,2022,2,399
IA,1999,1,51
IA,1999,2,1789
IA,2000,1,2488
IA,2000,2,3342
IA,2001,1,4019
IA,2001,2,3562
IA,2002,1,4807
IA,2002,2,4629
IA,2003,1,4588
IA,2003,2,4588
IA,2004,1,4686
IA,2004,2,3513
IA,2005,1,3701
IA,2005,2,3219
IA,2006,1,3160
IA,2006,2,3082
IA,2007,1,2889
IA,2007,2,2156
IA,2008,1,2473
IA,2008,2,2349
IA,2009,1,2838
IA,2009,2,2798
IA,2010,1,3142
IA,2010,2,3002
IA,2011,1,3271
IA,2011,2,2996
IA,2012,1,3714
IA,2012,2,4260
IA,2013,1,4227
IA,2013,2,3958
IA,2014,1,4449
IA,2014,2,3733
IA,2015,1,4251
IA,2015,2,4146
IA,2016,1,4862
IA,2016,2,4695
IA,2017,1,5815
IA,2017,2,5336
IA,2018,1,6127
IA,2018,2,5750
IA,2019,1,6353
IA,2019,2,5742
IA,2020,1,5202
IA,2020,2,5431
IA,2021,1,5496
IA,2021,2,5437
IA,2022,1,5241
IA,2022,2,5221
ID,1999,2,3
ID,2000,1,18
ID,2000,2,99
ID,2001,1,1317
ID,2001,2,1263
ID,2002,1,1478
ID,2002,2,1309
ID,2003,1,1121
ID,2003,2,1704
ID,2004,1,1765
ID,2004,2,1646
ID,2005,1,1959
ID,2005,2,1595
ID,2006,1,1670
ID,2006,2,1543
ID,2007,1,1463
ID,2007,2,1035
ID,2008,1,1082
ID,2008,2,874
ID,2009,1,1036
ID,2009,2,930
ID,2010,1,1219
ID,2010,2,1123
ID,2011,1,1245
ID,2011,2,1388
ID,2012,1,1607
ID,2012,2,1416
ID,2013,1,1603
ID,2013,2,1212
ID,2014,1,2050
ID,2014,2,2024
ID,2015,1,2303
ID,2015,2,2422
ID,2016,1,2651
ID,2016,2,2581
ID,2017,1,2904
ID,2017,2,2917
ID,2018,1,3341
ID,2018,2,3149
ID,2019,1,3242
ID,2019,2,3076
ID,2020,1,3141
ID,2020,2,3460
ID,2021,1,4476
ID,2021,2,4047
ID,2022,1,4896
ID,2022,2,4406
IL,1997,1,3
IL,1997,2,2
IL,1998,1,17
IL,1998,2,600
IL,1999,1,2131
IL,1999,2,2648
IL,2000,1,2573
IL,2000,2,2396
IL,2001,1,2953
IL,2001,2,2908
IL,2002,1,3101
IL,2002,2,2932
IL,2003,1,3238
IL,2003,2,2922
IL,2004,1,3657
IL,2004,2,3278
IL,2005,1,3604
IL,2005,2,3294
IL,2006,1,3904
IL,2006,2,4431
IL,2007,1,3477
IL,2007,2,3415
IL,2008,1,3921
IL,2008,2,4683
IL,2009,1,5534
IL,2009,2,5556
IL,2010,1,5173
IL,2010,2,3934
IL,2011,1,4979
IL,2011,2,5687
IL,2012,1,6476
IL,2012,2,6222
IL,2013,1,5877
IL,2013,2,5915
IL,2014,1,6456
IL,2014,2,6202
IL,2015,1,6708
IL,2015,2,7716
IL,2016,1,8226
IL,2016,2,7642
IL,2017,1,9880
IL,2017,2,9562
IL,2018,1,12135
IL,2018,2,11510
IL,2019,1,9898
IL,2019,2,9072
IL,2020,1,7085
IL,2020,2,9130
IL,2021,1,9462
IL,2021,2,8137
IL,2022,1,8332
IL,2022,2,7812
IN,1999,1,2
IN,1999,2,51
IN,2000,1,51
IN,2000,2,137
IN,2001,1,474
IN,2001,2,2212
IN,2002,1,3175
IN,2002,2,2975
IN,2003,1,3403
IN,2003,2,3256
IN,2004,1,3271
IN,2004,2,2498
IN,2005,1,3784
IN,2005,2,3295
IN,2006,1,2705
IN,2006,2,1871
IN,2007,1,1932
IN,2007,2,1310
IN,2008,1,3886
IN,2008,2,4026
IN,2009,1,5316
IN,2009,2,4313
IN,2010,1,4612
IN,2010,2,1516
IN,2011,1,2514
IN,2011,2,4487
IN,2012,1,6719
IN,2012,2,6814
IN,2013,1,7271
IN,2013,2,6728
IN,2014,1,7646
IN,2014,2,4525
IN,2015,1,6036
IN,2015,2,6495
IN,2016,1,7910
IN,2016,2,6632
IN,2017,1,8263
IN,2017,2,8117
IN,2018,1,9509
IN,2018,2,11012
IN,2019,1,15753
IN,2019,2,9200
IN,2020,1,7565
IN,2020,2,7828
IN,2021,1,9931
IN,2021,2,8807
IN,2022,1,9322
IN,2022,2,7354
KS,1999,2,76
KS,2000,1,281
KS,2000,2,358
KS,2001,1,492
KS,2001,2,1617
KS,2002,1,4094
KS,2002,2,3742
KS,2003,1,4500
KS,2003,2,3917
KS,2004,1,3505
KS,2004,2,3629
KS,2005,1,4505
KS,2005,2,3522
KS,2006,1,3736
KS,2006,2,3506
KS,2007,1,3508
KS,2007,2,2167
KS,2008,1,2250
KS,2008,2,2112
KS,2009,1,2455
KS,2009,2,2133
KS,2010,1,3470
KS,2010,2,3896
KS,2011,1,4323
KS,2011,2,4281
KS,2012,1,4361
KS,2012,2,4357
KS,2013,1,4069
KS,2013,2,4186
KS,2014,1,4863
KS,2014,2,3796
KS,2015,1,3800
KS,2015,2,4848
KS,2016,1,5958
KS,2016,2,5590
KS,2017,1,6757
KS,2017,2,6106
KS,2018,1,6289
KS,2018,2,5710
KS,2019,1,6022
KS,2019,2,6965
KS,2020,1,5818
KS,2020,2,6403
KS,2021,1,8300
KS,2021,2,8018
KS,2022,1,8507
KS,2022,2,6230
KY,1999,2,27
KY,2000,1,75
KY,2000,2,96
KY,2001,1,158
KY,2001,2,124
