ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count,Date
FL,2018,1,2440,95,2018-04-01
FL,2018,2,2008,11,2018-10-01
FL,2019,1,2529,10,2019-04-01
FL,2019,2,2974,3,2019-10-01
FL,2020,1,2779,17,2020-04-01
FL,2020,2,4007,1,2020-10-01
FL,2021,1,4903,2,2021-04-01
FL,2021,2,4303,2,2021-10-01
FL,2022,1,4790,0,2022-04-01
FL,2022,2,4077,0,2022-10-01
GA,1998,1,0,0,1998-04-01
GA,1998,2,0,0,1998-10-01
GA,1999,1,0,0,1999-04-01
GA,1999,2,0,0,1999-10-01
GA,2000,1,0,0,2000-04-01
GA,2000,2,0,0,2000-10-01
GA,2001,1,0,0,2001-04-01
GA,2001,2,0,0,2001-10-01
GA,2002,1,0,0,2002-04-01
GA,2002,2,0,0,2002-10-01
GA,2003,1,0,0,2003-04-01
GA,2003,2,0,0,2003-10-01
GA,2004,1,0,0,2004-04-01
GA,2004,2,0,0,2004-10-01
GA,2005,1,0,0,2005-04-01
GA,2005,2,0,0,2005-10-01
GA,2006,1,0,0,2006-04-01
GA,2006,2,1,0,2006-10-01
GA,2007,1,0,0,2007-04-01
GA,2007,2,0,0,2007-10-01
GA,2008,1,0,0,2008-04-01
GA,2008,2,0,0,2008-10-01
GA,2009,1,0,0,2009-04-01
GA,2009,2,0,0,2009-10-01
GA,2010,1,0,0,2010-04-01
GA,2010,2,1,0,2010-10-01
GA,2011,1,0,0,2011-04-01
GA,2011,2,0,0,2011-10-01
GA,2012,1,0,0,2012-04-01
GA,2012,2,6,0,2012-10-01
GA,2013,1,15,0,2013-04-01
GA,2013,2,7,0,2013-10-01
GA,2014,1,20,0,2014-04-01
GA,2014,2,39,0,2014-10-01
GA,2015,1,55,0,2015-04-01
GA,2015,2,36,0,2015-10-01
GA,2016,1,78,0,2016-04-01
GA,2016,2,51,2,2016-10-01
GA,2017,1,159,11,2017-04-01
GA,2017,2,116,4,2017-10-01
GA,2018,1,138,9,2018-04-01
GA,2018,2,138,0,2018-10-01
GA,2019,1,153,8,2019-04-01
GA,2019,2,165,11,2019-10-01
GA,2020,1,305,13,2020-04-01
GA,2020,2,433,4,2020-10-01
GA,2021,1,783,8,2021-04-01
GA,2021,2,791,1,2021-10-01
GA,2022,1,710,0,2022-04-01
GA,2022,2,715,0,2022-10-01
GU,1998,1,0,0,1998-04-01
GU,1998,2,0,0,1998-10-01
GU,1999,1,0,0,1999-04-01
GU,1999,2,0,0,1999-10-01
GU,2000,1,0,0,2000-04-01
GU,2000,2,0,0,2000-10-01
GU,2001,1,0,0,2001-04-01
GU,2001,2,0,0,2001-10-01
GU,2002,1,0,0,2002-04-01
GU,2002,2,0,0,2002-10-01
GU,2003,1,0,0,2003-04-01
GU,2003,2,0,0,2003-10-01
GU,2004,1,0,0,2004-04-01
GU,2004,2,0,0,2004-10-01
GU,2005,1,0,0,2005-04-01
GU,2005,2,0,0,2005-10-01
GU,2006,1,0,0,2006-04-01
GU,2006,2,0,0,2006-10-01
GU,2007,1,0,0,2007-04-01
GU,2007,2,0,0,2007-10-01
GU,2008,1,0,0,2008-04-01
GU,2008,2,0,0,2008-10-01
GU,2009,1,0,0,2009-04-01
GU,2009,2,0,0,2009-10-01
GU,2010,1,0,0,2010-04-01
GU,2010,2,0,0,2010-10-01
GU,2011,1,0,0,2011-04-01
GU,2011,2,0,0,2011-10-01
GU,2012,1,0,0,2012-04-01
GU,2012,2,0,0,2012-10-01
GU,2013,1,0,0,2013-04-01
GU,2013,2,0,0,2013-10-01
GU,2014,1,0,0,2014-04-01
GU,2014,2,0,0,2014-10-01
GU,2015,1,0,0,2015-04-01
GU,2015,2,0,0,2015-10-01
GU,2016,1,0,0,2016-04-01
GU,2016,2,0,0,2016-10-01
GU,2017,1,0,0,2017-04-01
GU,2017,2,0,0,2017-10-01
GU,2018,1,0,0,2018-04-01
GU,2018,2,0,0,2018-10-01
GU,2019,1,0,0,2019-04-01
GU,2019,2,0,0,2019-10-01
GU,2020,1,1,0,2020-04-01
GU,2020,2,0,0,2020-10-01
GU,2021,1,0,0,2021-04-01
GU,2021,2,0,0,2021-10-01
GU,2022,1,0,0,2022-04-01
GU,2022,2,0,0,2022-10-01
HI,1998,1,0,0,1998-04-01
HI,1998,2,0,0,1998-10-01
HI,1999,1,0,0,1999-04-01
HI,1999,2,0,0,1999-10-01
HI,2000,1,0,0,2000-04-01
HI,2000,2,0,0,2000-10-01
HI,2001,1,0,0,2001-04-01
HI,2001,2,0,0,2001-10-01
HI,2002,1,0,0,2002-04-01
HI,2002,2,0,0,2002-10-01
HI,2003,1,0,0,2003-04-01
HI,2003,2,0,0,2003-10-01
HI,2004,1,0,0,2004-04-01
HI,2004,2,0,0,2004-10-01
HI,2005,1,0,0,2005-04-01
HI,2005,2,0,0,2005-10-01
HI,2006,1,0,0,2006-04-01
HI,2006,2,0,0,2006-10-01
